Code,Metric,Year,Value
GEO,rgdpe,2019,59378.48047
GEO,pop,2019,3.996765
GHA,rgdpe,1960,30492.67383
GHA,pop,1960,6.915965969
GHA,rgdpe,1970,39342.66016
GHA,pop,1970,8.735495
GHA,rgdpe,1980,38946.48438
GHA,pop,1980,11.056116
GHA,rgdpe,1990,43327.4375
GHA,pop,1990,14.773277
GHA,rgdpe,2000,62272.60547
GHA,pop,2000,19.278856
GHA,rgdpe,2010,105865.9609
GHA,pop,2010,24.779619
GHA,rgdpe,2019,168736.0156
GHA,pop,2019,30.417856
GIN,rgdpe,1960,10932.20898
GIN,pop,1960,3.450718414
GIN,rgdpe,1970,11724.28516
GIN,pop,1970,4.154605
GIN,rgdpe,1980,16006.54883
GIN,pop,1980,4.871435
GIN,rgdpe,1990,20215.92773
GIN,pop,1990,6.352283
GIN,rgdpe,2000,21613.30273
GIN,pop,2000,8.24073
